City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
71,Rikitea,PF,-23.12,-134.97,2020-04-11,77.41,77.0,48.0,10.69
72,Arraial Do Cabo,BR,-22.97,-42.03,2020-04-11,71.94,81.0,88.0,8.59
73,Otjimbingwe,NA,-22.35,16.13,2020-04-11,71.37,48.0,2.0,10.18
74,Noumea,NC,-22.28,166.46,2020-04-11,80.6,54.0,75.0,8.05
75,Henties Bay,NA,-22.12,14.28,2020-04-11,75.22,52.0,16.0,3.87
76,Sao Fidelis,BR,-21.65,-41.75,2020-04-11,69.08,85.0,95.0,0.87
77,Sao Joao Da Barra,BR,-21.64,-41.05,2020-04-11,70.88,85.0,95.0,4.9
78,Tadine,NC,-21.55,167.88,2020-04-11,75.72,70.0,61.0,8.7
79,Saint-Philippe,RE,-21.36,55.77,2020-04-11,79.0,61.0,75.0,14.99
80,Avarua,CK,-21.21,-159.78,2020-04-11,82.4,94.0,100.0,5.82
81,Vaini,TO,-21.2,-175.2,2020-04-11,78.8,69.0,20.0,4.7
82,Mackay,AU,-21.15,149.2,2020-04-11,87.01,66.0,50.0,12.75
83,Voh,NC,-20.97,164.7,2020-04-11,78.3,61.0,68.0,4.25
84,Karratha,AU,-20.74,116.85,2020-04-11,92.5,29.0,1.0,8.9
85,Mount Isa,AU,-20.73,139.5,2020-04-11,89.6,13.0,32.0,11.41
86,Okakarara,NA,-20.58,17.43,2020-04-11,63.21,61.0,29.0,8.7
87,Souillac,MU,-20.52,57.52,2020-04-11,81.0,74.0,75.0,18.34
88,Uyuni,BO,-20.46,-66.83,2020-04-11,42.37,14.0,0.0,7.56
89,Mahebourg,MU,-20.41,57.7,2020-04-11,81.0,78.0,40.0,17.22
90,Bambous Virieux,MU,-20.34,57.76,2020-04-11,81.0,74.0,75.0,18.34
91,Vila Velha,BR,-20.33,-40.29,2020-04-11,71.6,94.0,75.0,3.36
92,Poum,NC,-20.23,164.02,2020-04-11,78.67,65.0,91.0,6.4
93,Bowen,AU,-20.02,148.23,2020-04-11,89.6,49.0,40.0,6.93
94,Grand Gaube,MU,-20.01,57.66,2020-04-11,78.8,78.0,40.0,17.22
95,Isangel,VU,-19.55,169.27,2020-04-11,78.19,61.0,48.0,9.26
96,Alofi,NU,-19.06,-169.92,2020-04-11,80.6,69.0,37.0,4.7
97,Catalao,BR,-18.17,-47.95,2020-04-11,60.94,73.0,8.0,2.06
98,Opuwo,NA,-18.06,13.84,2020-04-11,68.23,54.0,15.0,7.78
99,Santa Helena De Goias,BR,-17.81,-50.6,2020-04-11,62.92,71.0,14.0,2.53
100,Ongwediva,NA,-17.78,15.77,2020-04-11,68.0,94.0,73.0,2.24
101,Tautira,PF,-17.73,-149.15,2020-04-11,82.4,74.0,100.0,3.36
102,Caravelas,BR,-17.71,-39.25,2020-04-11,76.69,87.0,37.0,7.92
103,Ilo,PE,-17.64,-71.34,2020-04-11,71.4,80.0,85.0,8.81
104,Varzea Da Palma,BR,-17.6,-44.73,2020-04-11,68.56,78.0,5.0,3.96
105,Mineiros,BR,-17.57,-52.55,2020-04-11,63.12,69.0,31.0,3.83
106,Soanierana Ivongo,MG,-16.92,49.58,2020-04-11,82.4,78.0,75.0,11.41
107,Tevaitoa,PF,-16.78,-151.5,2020-04-11,84.27,70.0,98.0,7.31
108,Camana,PE,-16.62,-72.71,2020-04-11,71.85,78.0,94.0,5.7
109,Faanui,PF,-16.48,-151.75,2020-04-11,83.48,71.0,96.0,8.16
110,Barao De Melgaco,BR,-16.19,-55.97,2020-04-11,77.0,78.0,20.0,3.36
111,Jamestown,SH,-15.94,-5.72,2020-04-11,70.65,74.0,32.0,16.35
112,Kununurra,AU,-15.77,128.73,2020-04-11,77.0,78.0,75.0,4.7
113,Guanay,BO,-15.5,-67.88,2020-04-11,65.44,65.0,94.0,0.36
114,Brumado,BR,-14.2,-41.67,2020-04-11,71.8,82.0,99.0,3.51
115,Macusani,PE,-14.08,-70.43,2020-04-11,36.21,21.0,68.0,3.42
116,Lufilufi,WS,-13.87,-171.6,2020-04-11,82.0,94.0,98.0,8.01
117,Alyangula,AU,-13.85,136.42,2020-04-11,77.0,100.0,75.0,4.7
118,Caconda,AO,-13.73,15.07,2020-04-11,60.04,61.0,62.0,3.91
119,Pisco,PE,-13.7,-76.22,2020-04-11,72.0,88.0,90.0,4.7
120,Ambilobe,MG,-13.2,49.05,2020-04-11,83.35,64.0,10.0,6.55
121,Tambopata,PE,-12.73,-69.18,2020-04-11,66.7,72.0,9.0,1.77
122,Riachao Das Neves,BR,-11.75,-44.91,2020-04-11,70.9,81.0,97.0,0.49
123,Mitsamiouli,KM,-11.38,43.28,2020-04-11,83.89,73.0,15.0,9.69
124,Mazamari,PE,-11.33,-74.53,2020-04-11,72.07,63.0,95.0,0.96
125,Barranca,PE,-10.75,-77.77,2020-04-11,73.53,76.0,37.0,7.47
126,Atuona,PF,-9.8,-139.03,2020-04-11,82.22,76.0,81.0,11.14
127,Waingapu,ID,-9.66,120.26,2020-04-11,83.88,69.0,68.0,8.08
128,Inhapi,BR,-9.22,-37.75,2020-04-11,70.86,82.0,60.0,3.13
129,Aripuana,BR,-9.17,-60.63,2020-04-11,72.86,94.0,85.0,1.23
130,Atambua,ID,-9.11,124.89,2020-04-11,79.52,71.0,17.0,1.43
131,Luanda,AO,-8.84,13.23,2020-04-11,77.0,94.0,40.0,4.7
132,Mbala,ZM,-8.84,31.37,2020-04-11,61.16,57.0,44.0,8.88
133,Tamandare,BR,-8.76,-35.1,2020-04-11,80.64,80.0,13.0,7.92
